id,price,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,PREÇO POR ÁREA CONSTRUÍDA,CARO,MEDIA
7214810350,467000,20141017,5,2.25,2500,13500,1,0,0,3,7,1850,650,1979,0,98072,47.7564,-122.144,2300,9750,186.8,abaixo,247.5120125
200350070,559900,20140602,3,2.75,2930,5569,1,0,0,3,9,1860,1070,2004,0,98072,47.7648,-122.164,2580,11045,191.0921502,abaixo,
9517200030,365500,20140625,3,2,1410,9600,1,0,0,4,7,1410,0,1983,0,98072,47.7591,-122.146,1410,9600,259.2198582,acima,
1774000200,400000,20141202,3,1.75,1920,9102,1,0,0,3,7,1920,0,1968,0,98072,47.7487,-122.082,1920,9760,208.3333333,abaixo,
1529200340,496500,20150108,3,2.5,2260,3640,2,0,0,3,8,2260,0,1994,0,98072,47.7356,-122.157,2350,3710,219.6902655,abaixo,
1775920350,323000,20141124,3,1,1290,12231,1,0,0,3,7,1290,0,1976,0,98072,47.7404,-122.11,1390,11632,250.3875969,acima,
1775800800,396000,20150224,3,1,1500,12616,1,0,0,3,7,1500,0,1967,0,98072,47.7415,-122.101,1820,13950,264,acima,
9465910070,480000,20140716,3,2.5,1940,10035,2,0,0,4,8,1940,0,1994,0,98072,47.7438,-122.172,2810,8333,247.4226804,abaixo,
7214820030,475000,20141212,3,1.75,2020,8970,1,0,0,4,7,1180,840,1981,0,98072,47.7571,-122.145,2140,8008,235.1485149,abaixo,
1775801260,425000,20150311,4,2.5,1930,14196,1,0,0,4,7,1330,600,1977,0,98072,47.7407,-122.097,1470,12852,220.2072539,abaixo,
9465910320,565000,20140709,3,2.5,2500,7394,2,0,0,3,9,2500,0,1990,0,98072,47.7441,-122.173,2790,7642,226,abaixo,
1630700135,659000,20141119,4,2,1980,23625,2,0,0,3,8,1980,0,1938,1984,98072,47.7553,-122.092,2300,24640,332.8282828,acima,
226059078,375000,20150227,2,1,1840,81892,1,0,0,3,6,1840,0,1955,0,98072,47.7694,-122.124,2550,40089,203.8043478,abaixo,
7955030060,345000,20150326,3,1,1250,17380,1,0,0,4,7,1250,0,1970,0,98072,47.7502,-122.108,1410,18200,276,acima,
1775800510,432000,20150324,4,1,1750,12528,1,0,0,4,7,1750,0,1967,0,98072,47.743,-122.097,1550,14120,246.8571429,abaixo,
9238450160,389000,20150428,3,1,1280,9630,1,0,0,3,7,1280,0,1968,0,98072,47.7677,-122.163,1300,9453,303.90625,acima,
2481630070,914600,20150128,4,3,3180,80837,2,0,0,3,11,3180,0,1985,0,98072,47.7336,-122.134,3180,38715,287.6100629,acima,
4215250310,828500,20140919,4,2.5,3720,35000,2,0,0,3,10,3720,0,1983,0,98072,47.7582,-122.13,3720,35000,222.7150538,abaixo,
7214810550,420000,20150413,4,2.25,2270,12000,1,0,0,4,7,1360,910,1979,0,98072,47.7559,-122.148,2500,10120,185.0220264,abaixo,
9408300310,520000,20140624,3,1.75,2300,35722,1,0,0,3,9,2300,0,1984,0,98072,47.7455,-122.112,2600,34798,226.0869565,abaixo,
7214800240,541100,20150316,4,2.25,2510,9800,2,0,0,3,9,2510,0,1978,0,98072,47.753,-122.145,2440,11000,215.5776892,abaixo,
2481630200,883000,20140614,4,2.5,2960,41656,2,0,0,3,10,2960,0,1985,0,98072,47.7319,-122.132,3900,35104,298.3108108,acima,
4215250030,475000,20140819,4,2.5,2120,57050,2,0,0,3,9,2120,0,1989,0,98072,47.7611,-122.128,3320,39082,224.0566038,abaixo,
2326059082,594000,20150126,3,2.25,2080,70567,2,0,0,3,8,2080,0,1990,0,98072,47.7221,-122.124,3730,43560,285.5769231,acima,
3663000070,600000,20140708,3,2.25,1900,46609,1.5,0,0,4,7,1440,460,1969,0,98072,47.7529,-122.116,2460,43560,315.7894737,acima,
4450700030,354950,20140822,3,1.75,1780,9689,1,0,0,3,7,1130,650,1976,0,98072,47.7628,-122.163,1660,9786,199.4101124,abaixo,
3407700046,625000,20140624,3,2.5,2410,64073,1,0,0,4,8,1820,590,1976,0,98072,47.7457,-122.141,2980,48760,259.3360996,acima,
1137300340,674250,20141121,4,2.5,2780,35000,1,0,0,4,9,2780,0,1985,0,98072,47.7386,-122.091,2740,35072,242.5359712,abaixo,
6979970140,475000,20150417,3,2.5,2370,3239,2,0,0,3,8,1950,420,2006,0,98072,47.7515,-122.174,2520,3431,200.4219409,abaixo,
2738650030,552500,20150511,3,2.5,2450,3582,2,0,0,3,9,2450,0,2008,0,98072,47.7749,-122.159,2490,5449,225.5102041,abaixo,
1775800710,315500,20150126,3,1,1300,12600,1,0,0,4,7,1300,0,1969,0,98072,47.7422,-122.1,1480,13530,242.6923077,abaixo,
3876810140,326500,20140527,3,1,1810,12375,2,0,0,3,7,1810,0,1970,0,98072,47.7427,-122.172,1420,9357,180.3867403,abaixo,
4045900147,590000,20140801,3,2.75,2550,54014,2,0,0,4,8,1980,570,1967,0,98072,47.7596,-122.117,2180,21600,231.372549,abaixo,
1926069137,775000,20140707,4,3.25,4100,241322,2,0,0,3,9,2500,1600,1981,0,98072,47.7302,-122.096,3770,87821,189.0243902,abaixo,
1226059112,415000,20150220,3,1,1360,73616,1,0,0,3,7,1360,0,1971,0,98072,47.7528,-122.119,2040,50965,305.1470588,acima,
1137301780,580000,20141126,3,2.5,2180,40278,2,0,0,3,9,2180,0,1985,0,98072,47.733,-122.09,2630,40000,266.0550459,acima,
